Timestamp	[B-001] Billy Blizbrau — Drinkability	[B-001] Billy Blizbrau — Flavor	[B-001] Billy Blizbrau — Color	[B-001] Billy Blizbrau — Label	[B-001] Billy Blizbrau — Overall	[B-001] Billy Blizbrau — Comments (optional)	[B-002] Peach don’t kill my vibe — Drinkability	[B-002] Peach don’t kill my vibe — Flavor	[B-002] Peach don’t kill my vibe — Color	[B-002] Peach don’t kill my vibe — Label	[B-002] Peach don’t kill my vibe — Overall	[B-002] Peach don’t kill my vibe — Comments (optional)	[B-003] Dirt Beaver — Drinkability	[B-003] Dirt Beaver — Flavor	[B-003] Dirt Beaver — Color	[B-003] Dirt Beaver — Label	[B-003] Dirt Beaver — Overall	[B-003] Dirt Beaver — Comments (optional)	[B-004] Well Made — Drinkability	[B-004] Well Made — Flavor	[B-004] Well Made — Color	[B-004] Well Made — Label	[B-004] Well Made — Overall	[B-004] Well Made — Comments (optional)	[B-005] Desert Heat — Drinkability	[B-005] Desert Heat — Flavor	[B-005] Desert Heat — Color	[B-005] Desert Heat — Label	[B-005] Desert Heat — Overall	[B-005] Desert Heat — Comments (optional)	[B-006] Sourpuss — Drinkability	[B-006] Sourpuss — Flavor	[B-006] Sourpuss — Color	[B-006] Sourpuss — Label	[B-006] Sourpuss — Overall	[B-006] Sourpuss — Comments (optional)	[B-007] ASTROBEER — Drinkability	[B-007] ASTROBEER — Flavor	[B-007] ASTROBEER — Color	[B-007] ASTROBEER — Label	[B-007] ASTROBEER — Overall	[B-007] ASTROBEER — Comments (optional)	[B-008] Neighborly Influence — Drinkability	[B-008] Neighborly Influence — Flavor	[B-008] Neighborly Influence — Color	[B-008] Neighborly Influence — Label	[B-008] Neighborly Influence — Overall	[B-008] Neighborly Influence — Comments (optional)	Billy Blizbrau — Drinkability	Billy Blizbrau — Flavor	Billy Blizbrau — Color	Billy Blizbrau — Label	Billy Blizbrau — Overall	Billy Blizbrau — Comments (optional)
8/23/2025 17:06:42	2	3	2	5	3	Robust flavor, fun label	5	5	5	5	5	Very tasty fruit and smooth	5	3	2	3	3	Creative label, very lemony- would drink post rip	3	3	2	1	4	Good flavor, mild and drinkable	2	2	4	1	2	Not the best flavor, very wheaty 	1	3	2	3	3	Not a big sour fan but very tasty for sours!!	2	1	4	4	2	To sweet for me but not bad	1	1	1	1	1	Flat and leaves a bad taste						
8/23/2025 16:39:35	5	5	5	5	5	Tastiest beer I’ve ever made	3	4	2	4	3		3	4	3	5	4	Love the label!	2	2	2	3	3		3	3	4	4	3		1	3	2	3	3		4	4	4	2	3		2	2	2	2	2							
8/23/2025 16:41:33	3	3	4	5	3	Billy knows how to carbonate 	4	5	4	5	4	I’d tap this beach	5	5	5	5	5	I eat beaver	3	3	3	4	3	This is well made 	3	3	5	4	4	I’d fuck this beer	4	4	5	5	5	Taste like pussy	4	5	5	5	5	Beauty	2	2	2	2	2							
8/23/2025 16:48:50	2	2	5	5	3		1	1	5	3	2		3	3	5	2	3		2	2	5	5	3		4	4	5	3	4		1	3	5	3	3		2	3	5	2	3		4	2	5	3	4							
8/23/2025 16:50:00	4	4	5	5	4		3	3	5	5	3		3	3	5	4	4		5	4	5	5	4		5	5	5	4	5		3	5	5	5	4		2	4	5	3	3		4	4	5	3	4							
8/23/2025 16:50:50	3	3	2	5	3		3	4	4	5	4		4	3	1	1	3	got the lemon 	1	2	4	3	2	has a bit of a chemical vibe to it	3	3	4	2	3		1	2	4	4	2	feels a little clumsy flavor-wise	4	4	3	4	4	so yummy and very artistic label 	3	4	4	3	3	really interesting caramel-coffee flavor wish there was more carbonation 						
8/23/2025 16:51:52	3	3	3	5	4	Fantastic label	5	4	4	4	4		4	3	2	2	3		2	2	3	3	2		3	3	3	4	3		2	2	2	4	3		4	4	4	5	4		3	4	4	3	4							
8/23/2025 16:52:01	3	3	3	3	3		2	2	3	4	2		2	2	3	3	2		4	4	4	3	4		3	3	4	5	3		5	5	5	5	5		4	4	4	3	4		1	1	3	1	1							
8/23/2025 16:52:14	5	4	5	4	4		3	3	5	3	3		4	3	5	3	4		4	3	5	5	4	I designed the label 	5	5	5	3	5		5	5	5	3	5		4	3	5	3	3		5	5	5	2	4							
8/23/2025 16:52:58	5	4	3	5	2		2	2	4	5	3		3	3	4	5	3		5	5	5	3	4		4	5	5	5	5		5	5	2	5	5		4	1	5	1	4		3	2	5	1	3							
8/23/2025 16:54:30	3	3	4	4	3		4	3	2	3	3		3	2	4	3	3		5	4	2	2	4		4	2	3	1	2		1	1	3	2	2		3	5	3	5	4		2	2	4	1	2							
8/23/2025 16:54:31	2	2	3	4	3		2	4	3	5	3		2	3	3	3	2		3	2	4	2	3		4	4	4	3	4		2	3	4	4	3		4	4	4	5	4		2	1	4	3	3							
8/23/2025 16:56:53	4	4	2	5	3	Easy to drink, a little hazy for a dark beer for my taste, nice sweetness	3	5	4	3	4	Nice and bitter, peachy color fits the vibe	5	4	2	3	3	Tart, very easy to drink, but a bit watery in color 	2	3	3	3	2	Notes of agave, but too sweet for me	4	3	3	2	2	Very easy to drink, but lacks complexity. Chipotle doesn’t come through enough	3	4	4	3	3	Definitely sour, a standout fruit note would give it more of an identity	4	5	5	4	4		1	4	5	4	3							
8/23/2025 16:57:40	3	5	5	5	4		5	5	5	4	5		4	4	3	5	3		4	4	5	5	5		5	5	5	5	5	This shit fire	4	3	4	3	3		4	5	4	4	4		3	3	5	3	3							
8/23/2025 16:58:15	4	4	4	5	4		3	3	5	5	4	I don’t like IPAs because they’re bitter&gross but I like this more than most IPAs because it’s fruity! 	5	5	5	4	5	Such a good summer beer! Perfect for Aug-toberfest!! 	5	3	4	3	3		5	5	5	4	5		3	3	4	5	3		2	2	4	2	2		4	5	4	5	3	If it had more carbonation I would like it a lot! 						
8/23/2025 17:04:40	4	3	2	4	3	Good work Kyle and Sarah 	3	3	3	3	3	This feels more west coast than New England hazy 	5	4	4	5	4	The label made me lose my cool. Funny points 	4	2	3	3	3	Mild taste, but the drinkabilty is high 	5	5	5	4	5	I’d buy this. This fucks 	4	3	4	4	4	This is a sour, but no distinguishing tasting notes 	2	1	3	2	1	Strong after taste if you are into that 	1	2	2	4	2	Needs carbonation but nice try 						
8/23/2025 17:04:41	4	3	2	4	3		3	3	4	4	3		5	4	4	3	4		4	2	3	2	3		5	5	5	4	5		3	3	4	5	3		2	2	3	3	1		1	2	2	4	2							
8/23/2025 17:16:06	5	4	5	5	4	Tastes to me like a really great pumpernickel bread 	5	5	5	4	5	Loved it!! I got refills!	4	3	4	4	4		4	3	5	4	3	Great double entendre! Beautiful color.	5	4	5	3	4	Love it!!	5	5	5	5	5	Yummmm!!	3	3	5	4	3		4	5	4	5	4							
8/23/2025 17:17:21	3	4	4	5	4		3	3	3	3	4		4	4	3	5	3		4	5	4	3	3		4	4	3	4	4		4	4	4	5	4		3	2	3	1	3		4	3	4	3	3							
8/23/2025 17:23:38	2	2	2	3	3	Danke 	5	4	5	4	5	I don’t get peach, but really good IPA	5	5	5	3	5	I’ll take 15. Now. 	3	3	4	3	3		2	3	5	4	4		3	5	5	3	5	Meow	4	5	4	5	5		4	3	3	1	2							
